Unnamed: 0,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
9,frère,brother
11,car,because
12,mettre,to put
13,aucun,no
15,eux,them
16,chaque,each
17,parlé,speak
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,yeux,eyes
46,dont,whose
47,trouve,find
48,perdu,lost
49,main,hand
51,côté,side
52,pouvoir,power
53,vieux,old
54,sois,be
55,tiens,here
56,matin,morning
57,tellement,so much
58,enfant,child
59,point,point
60,venu,came
61,suite,after
63,venez,come
64,devant,in front of
65,vers,towards
66,minutes,minutes
67,demandé,request
68,chambre,bedroom
69,mis,placed
70,belle,beautiful
71,droit,law
73,mari,husband
74,cause,cause
75,enfin,finally
76,espère,hope
77,eau,water
78,attendez,Wait
80,nouvelle,new
84,terre,Earth
85,compte,account
86,donne,given
87,loin,far
88,fin,end
89,croire,believe
90,chérie,sweetheart
91,gros,large
92,plutôt,rather
93,aura,will have
94,filles,girls
95,jouer,to play
96,bureau,office
